"label","group1","group2","n_group1","n_group2","median_group1","median_group2","p_value","p_adj_BH_within_label","p_adj_BH_global","p_star"
"CD4 Tem","Severe","Convalescent",7,142,0.107510288065844,0.102263374485597,0.481156831842561,0.71578817420124,0.676626794778601,""
"CD8 Tn","Moderate","Severe",771,356,0.0983539094650206,0.103240740740741,5.30483856117083e-07,1.01633550001048e-06,1.52450325001572e-05,"***"
"CD8 Tn","Moderate","Convalescent",771,574,0.0983539094650206,0.098559670781893,0.910376971376659,0.910376971376659,0.975403897903563,""
"CD8 Tn","Severe","Convalescent",356,574,0.103240740740741,0.098559670781893,6.77557000006987e-07,1.01633550001048e-06,1.52450325001572e-05,"***"
"CD4 Treg","Moderate","Severe",216,74,0.103189300411523,0.106275720164609,0.394121524054199,0.591182286081299,0.617917212702675,""
"CD4 Treg","Moderate","Convalescent",216,126,0.103189300411523,0.105401234567901,0.23963521261428,0.591182286081299,0.487525453562952,""
"CD4 Treg","Severe","Convalescent",74,126,0.106275720164609,0.105401234567901,0.805120618263368,0.805120618263368,0.953432311101356,""
"CD8 Tcm","Moderate","Severe",100,29,0.0977880658436214,0.102572016460905,0.260162251122599,0.390243376683899,0.487525453562952,""
"CD8 Tcm","Moderate","Convalescent",100,198,0.0977880658436214,0.103395061728395,0.00804038195576984,0.0241211458673095,0.0278320913853571,"*"
"CD8 Tcm","Severe","Convalescent",29,198,0.102572016460905,0.103395061728395,0.600435357044103,0.600435357044103,0.771988316199561,""
"CD8 Temra","Moderate","Severe",679,140,0.10380658436214,0.107510288065844,0.000443016415478515,0.00132904924643554,0.00284796267093331,"**"
"CD8 Temra","Moderate","Convalescent",679,1317,0.10380658436214,0.104218106995885,0.269081579223562,0.269081579223562,0.487525453562952,""
"CD8 Temra","Severe","Convalescent",140,1317,0.107510288065844,0.104218106995885,0.00229691958111059,0.00344537937166589,0.0110471040816103,"**"
"CD4 Th1","Moderate","Severe",106,2,0.103292181069959,0.135699588477366,0.445087134956333,0.940547843096881,0.667630702434499,""
"CD4 Th1","Moderate","Convalescent",106,15,0.103292181069959,0.105246913580247,0.636858763653342,0.940547843096881,0.796073454566678,""
"CD4 Th1","Severe","Convalescent",2,15,0.135699588477366,0.105246913580247,0.940547843096881,0.940547843096881,0.984294254403712,""
"Tgd","Moderate","Severe",389,119,0.102880658436214,0.106172839506173,8.13197814078931e-05,0.000243959344223679,0.000609898360559198,"***"
"Tgd","Moderate","Convalescent",389,1195,0.102880658436214,0.104012345679012,0.0125805789454804,0.0125805789454804,0.0377417368364412,"*"
"Tgd","Severe","Convalescent",119,1195,0.106172839506173,0.104012345679012,0.00245491201813562,0.00368236802720342,0.0110471040816103,"**"
"CD4 Temra","Moderate","Severe",79,19,0.101543209876543,0.0973251028806584,0.2632000678748,0.3948001018122,0.487525453562952,""
"CD4 Temra","Moderate","Convalescent",79,152,0.101543209876543,0.100874485596708,0.988407913927036,0.988407913927036,0.988407913927036,""
"CD4 Temra","Severe","Convalescent",19,152,0.0973251028806584,0.100874485596708,0.186917474342655,0.3948001018122,0.467293685856638,""
"CD8 Tc","Moderate","Severe",177,19,0.105246913580247,0.110905349794239,0.398213314852835,0.472993017731946,0.617917212702675,""
"CD8 Tc","Moderate","Convalescent",177,232,0.105246913580247,0.104732510288066,0.472993017731946,0.472993017731946,0.676626794778601,""
"CD8 Tc","Severe","Convalescent",19,232,0.110905349794239,0.104732510288066,0.262367551813671,0.472993017731946,0.487525453562952,""
"CD4 Th17","Moderate","Severe",45,8,0.0960905349794239,0.0944444444444444,0.296629876969428,0.444944815454142,0.49438312828238,""
"CD4 Th17","Moderate","Convalescent",45,80,0.0960905349794239,0.0972736625514403,0.599780052680892,0.599780052680892,0.771988316199561,""
"CD4 Th17","Severe","Convalescent",8,80,0.0944444444444444,0.0972736625514403,0.217165175286137,0.444944815454142,0.487525453562952,""
"MAIT","Moderate","Severe",67,22,0.0996913580246914,0.154218106995885,0.0043259494877635,0.0129778484632905,0.0170000449465959,"*"
"MAIT","Moderate","Convalescent",67,205,0.0996913580246914,0.103086419753086,0.27084747420164,0.27084747420164,0.487525453562952,""
"MAIT","Severe","Convalescent",22,205,0.154218106995885,0.103086419753086,0.0143082091377056,0.0214623137065584,0.040241838199797,"*"
