#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_4616,L-Tryptophan,C00078,"Glycine, serine and threonine metabolism(ko00260);;Tryptophan metabolism(ko00380);;Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;Axon regeneration(ko04361);;Serotonergic synapse(ko04726);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;African trypanosomiasis(ko05143);;Central carbon metabolism in cancer(ko05230)"
neg_4620,Xylobiose,C01630,ABC transporters(ko02010)
neg_4622,L-Histidinol phosphate,C01100,Histidine metabolism(ko00340);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_4637,Indole-3-acetamide,C02693,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_4640,5-Phosphooxy-L-lysine,C03366,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_4642,5-Acetylamino-6-formylamino-3-methyluracil,C16365,Caffeine metabolism(ko00232);;Metabolic pathways(ko01100)
neg_4653,Methotrexate,C01937,Bile secretion(ko04976)
neg_4667,Protodeoxyviolaceinic acid,C21131,Metabolic pathways(ko01100)
neg_4671,4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0,C21339,Metabolic pathways(ko01100)
neg_4674,Benazeprilat,C21541,--
neg_4675,Premithramycin A3',C12386,Metabolic pathways(ko01100)
neg_4676,Hydroxymethylbilane,C01024,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_4678,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,C04738,Metabolic pathways(ko01100)
neg_4687,Valienone 7-phosphate,C17697,Metabolic pathways(ko01100)
neg_4691,2-Dehydro-3-deoxy-6-phospho-D-galactonate,C01286,Galactose metabolism(ko00052);;Metabolic pathways(ko01100)
neg_4692,5'-Phosphoribosylglycinamide,C03838,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
neg_4694,Deacetoxycephalosporin C,C06565,Penicillin and cephalosporin biosynthesis(ko00311);;Metabolic pathways(ko01100)
neg_4703,Hydroquinone,C00530,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100);;Chemical carcinogenesis - reactive oxygen species(ko05208)
neg_4705,(S)-5-Amino-3-oxohexanoate,C03656,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_4706,N-Formylmethionine,C03145,Cysteine and methionine metabolism(ko00270)
neg_4714,GDP-mannose,C00096,Fructose and mannose metabolism(ko00051);;Ascorbate and aldarate metabolism(ko00053);;N-Glycan biosynthesis(ko00510);;Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Biosynthesis of nucleotide sugars(ko01250)
neg_4716,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,C06022,Metabolic pathways(ko01100)
neg_4729,Graveoline,C10689,--
neg_4740,GTP,C00044,Purine metabolism(ko00230);;Riboflavin metabolism(ko00740);;Folate biosynthesis(ko00790);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240);;Ras signaling pathway(ko04014);;Rap1 signaling pathway(ko04015);;Sulfur relay system(ko04122);;Autophagy - animal(ko04140);;Endocytosis(ko04144)
neg_4742,"N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate",C20562,Folate biosynthesis(ko00790);;Biosynthesis of cofactors(ko01240)
neg_4747,Deamino-NAD+,C00857,Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_4761,CMP-N-trimethyl-2-aminoethylphosphonate,C05674,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_4763,Thiamin triphosphate,C03028,Thiamine metabolism(ko00730);;Metabolic pathways(ko01100)
neg_4764,NAD+,C00003,Oxidative phosphorylation(ko00190);;Thiamine metabolism(ko00730);;Nicotinate and nicotinamide metabolism(ko00760);;Drug metabolism - other enzymes(ko00983);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;AMPK signaling pathway(ko04152);;Longevity regulating pathway(ko04211);;Longevity regulating pathway - worm(ko04212);;Aldosterone synthesis and secretion(ko04925);;Alcoholic liver disease(ko04936);;Vitamin digestion and absorption(ko04977);;Chemical carcinogenesis - reactive oxygen species(ko05208)
neg_4769,FR 900098,C17942,Phosphonate and phosphinate metabolism(ko00440)
neg_4776,Pantoprazole,C11806,--
neg_4778,6-Methylthiopurine 5'-monophosphate ribonucleotide,C16615,Drug metabolism - other enzymes(ko00983)
neg_4781,Phosphonoformyl-CMP,C17945,Phosphonate and phosphinate metabolism(ko00440)
neg_4792,"Bis(1L-myo-inositol)-3,1'-phosphate 1-phosphate",C19799,Inositol phosphate metabolism(ko00562);;Metabolic pathways(ko01100)
neg_4797,Ceftizoxime,C06890,Bile secretion(ko04976)
neg_4804,S-(Indolylmethylthiohydroximoyl)-L-cysteine,C16518,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210)
neg_4809,dTDP-alpha-D-fucofuranose,C20682,Polyketide sugar unit biosynthesis(ko00523);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_4811,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,C04916,Histidine metabolism(ko00340);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_4812,dTDP-D-glucuronate,C06017,Polyketide sugar unit biosynthesis(ko00523)
neg_4815,dTDP-acarviose-7-phosphate,C21208,Metabolic pathways(ko01100)
neg_4822,4-Hydroxyphenylacetaldehyde,C03765,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
neg_4823,Benzofuran,C14512,--
neg_4834,"2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate",C07734,Metabolic pathways(ko01100)
neg_4847,"3D-3,5/4-Trihydroxycyclohexane-1,2-dione",C04287,Inositol phosphate metabolism(ko00562);;Metabolic pathways(ko01100)
neg_4865,"3-(3,4-Dihydroxyphenyl)pyruvate",C04045,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
neg_4874,4-Demethylpremithramycinone,C12382,Metabolic pathways(ko01100)
neg_4895,Calicheamicin PsAg,C21340,Metabolic pathways(ko01100)
neg_4898,N-Acetyl-L-glutamate 5-phosphate,C04133,Arginine biosynthesis(ko00220);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230)
neg_4902,ADP-D-glycero-beta-D-manno-heptose,C06397,Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_4904,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate",C19725,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_4915,(S)-3-Sulfolactate,C11499,Cysteine and methionine metabolism(ko00270);;Metabolic pathways(ko01100)
neg_4921,CMP-2-aminoethylphosphonate,C05673,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_4944,2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate,C11039,Pyrimidine metabolism(ko00240)
neg_4961,Pyroglutamic acid,C01879,Glutathione metabolism(ko00480);;Metabolic pathways(ko01100)
neg_4967,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",C16038,Pathways in cancer(ko05200);;Chemical carcinogenesis - DNA adducts(ko05204);;Chemical carcinogenesis - reactive oxygen species(ko05208);;Prostate cancer(ko05215)
neg_4974,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",C01304,Riboflavin metabolism(ko00740);;Folate biosynthesis(ko00790);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_4975,FAD,C00016,Riboflavin metabolism(ko00740);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Vitamin digestion and absorption(ko04977)
neg_4976,3-Oxopropanoate,C00222,Pyrimidine metabolism(ko00240);;beta-Alanine metabolism(ko00410);;Inositol phosphate metabolism(ko00562);;Propanoate metabolism(ko00640);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200)
neg_4981,2-Aminophenoxazin-3-one,C02161,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_4987,(R)-(Indol-3-yl)lactate,C22006,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_4989,Dehypoxanthine futalosine,C17010,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_4991,dADP,C00206,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_5012,Azamethiphos,C18702,--
neg_5029,5-Methylbarbiturate,C05281,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_5050,Genipin,C09780,--
neg_5053,2-(alpha-D-Mannosyl)-3-phosphoglycerate,C11516,Fructose and mannose metabolism(ko00051);;Metabolic pathways(ko01100)
neg_5054,Sweroside,C17071,--
neg_5056,L-Valine,C00183,"Valine, leucine and isoleucine degradation(ko00280);;Valine, leucine and isoleucine biosynthesis(ko00290);;Penicillin and cephalosporin biosynthesis(ko00311);;Pantothenate and CoA biosynthesis(ko00770);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;ABC transporters(ko02010);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)"
neg_5060,5-Amino-6-(1-D-ribitylamino)uracil,C04732,Riboflavin metabolism(ko00740);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_5062,2-Deoxy-5-keto-D-gluconic acid 6-phosphate,C06893,Inositol phosphate metabolism(ko00562);;Metabolic pathways(ko01100)
neg_5063,Biflorin,C08996,--
neg_5071,Phenylpyruvic acid,C00166,"Phenylalanine metabolism(ko00360);;Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;D-Amino acid metabolism(ko00470);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230)"
neg_5084,"3,4-Dihydroanhydrorhodovibrin",C15886,Metabolic pathways(ko01100)
neg_5093,Geranyl-hydroxybenzoate,C18131,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130)
neg_5096,(1'S)-Averantin,C20499,Metabolic pathways(ko01100)
neg_5099,Glaucarubin,C08760,--
neg_5107,4-Hydroxyphenylacetylglutamic acid,C05595,Tyrosine metabolism(ko00350)
neg_5113,2-Methylquinolin-4-ol,C21873,Metabolic pathways(ko01100)
neg_5116,8-Methoxykynurenate,C05830,Tryptophan metabolism(ko00380)
neg_5118,2-Amino-2-deoxyisochorismate,C18054,Metabolic pathways(ko01100)
neg_5126,Terazosin,C07127,--
neg_5128,9(S)-HOT,C16326,alpha-Linolenic acid metabolism(ko00592)
neg_5129,Trovafloxacin,C07664,--
neg_5133,4-Oxo-1-(3-pyridyl)-1-butanone,C19567,Nicotinate and nicotinamide metabolism(ko00760);;Metabolism of xenobiotics by cytochrome P450(ko00980);;Metabolic pathways(ko01100);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_5171,L-Anticapsin,C20941,Metabolic pathways(ko01100)
neg_5180,Furan,C14275,--
neg_5185,Ascorbic acid,C00072,Ascorbate and aldarate metabolism(ko00053);;Glutathione metabolism(ko00480);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;HIF-1 signaling pathway(ko04066);;Vitamin digestion and absorption(ko04977)
neg_5202,ferulic acid,C01494,Metabolic pathways(ko01100)
neg_5219,Indoxyl,C05658,Tryptophan metabolism(ko00380)
neg_5230,IDP,C00104,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_5255,Gynocardin,C08331,--
neg_5265,Cyclo(L-Trp-L-Phe),C22142,Metabolic pathways(ko01100)
neg_5277,2-Oxosuberate,C16589,Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of cofactors(ko01240)
neg_5283,5'-Phosphoribosyl-N-formylglycinamide,C04376,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
neg_5292,Acetone cyanohydrin,C02659,Metabolic pathways(ko01100)
neg_5317,Dihydroxycarbazepine,C07495,Drug metabolism - cytochrome P450(ko00982)
neg_5331,4-(2-Hydroxyethoxycarbonyl)benzoate,C21450,Metabolic pathways(ko01100)
neg_5339,N-Acetylarylamine,C07565,--
neg_5365,CTP,C00063,Pyrimidine metabolism(ko00240);;Mannose type O-glycan biosynthesis(ko00515);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240)
neg_5368,dTDP-L-megosamine,C11919,Polyketide sugar unit biosynthesis(ko00523);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_5369,"UDP-2-acetamido-2,6-dideoxy-beta-L-talose",C20768,Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_5370,"dTDP-4-amino-4,6-dideoxy-5-C-methyl-D-allose",C11461,Polyketide sugar unit biosynthesis(ko00523)
neg_5374,Idazoxan,C10968,--
neg_5398,Clorazepate,C06921,--
neg_5400,Pelargonidin 3-O-glucoside,C12137,Metabolic pathways(ko01100)
neg_5406,2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate,C22073,Metabolic pathways(ko01100)
neg_5410,N-Acetyl-D-glucosamine 6-phosphate,C00357,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_5426,Fusidic acid,C06694,--
neg_5432,all-trans-Hexaprenyl diphosphate,C01230,Terpenoid backbone biosynthesis(ko00900)
neg_5439,ENOXOLONE,C02283,--
neg_5461,L-Serine-phosphoethanolamine,C03872,Glycerophospholipid metabolism(ko00564)
neg_5465,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,C04677,Purine metabolism(ko00230);;Histidine metabolism(ko00340);;Metabolic pathways(ko01100);;AMPK signaling pathway(ko04152)
neg_5468,Nogalavinone,C18631,Metabolic pathways(ko01100)
neg_5470,"3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate",C21087,Metabolic pathways(ko01100)
neg_5490,"2,3-Dihydroxybenzoic acid",C00196,--
neg_5493,2-Propylsuccinic acid,C16657,Drug metabolism - cytochrome P450(ko00982)
neg_5496,1-Hydroxyanthraquinone,C02980,--
neg_5498,Sulfamethoxazole,C07315,--
neg_5499,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C04691,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_5503,"D-Ribose 1,5-bisphosphate",C01151,Pentose phosphate pathway(ko00030);;Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_5539,VASICINONE,C10744,--
neg_5591,Validoxylamine A,C17700,Metabolic pathways(ko01100)
neg_5721,"4,5-Dioxopentanoate",C02800,Porphyrin metabolism(ko00860)
neg_5731,Eriodictyol,C05631,Metabolic pathways(ko01100)
neg_5891,"N6-(L-1,3-Dicarboxypropyl)-L-lysine",C00449,Lysine biosynthesis(ko00300);;Lysine degradation(ko00310);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_5926,N-Isopropylammelide,C06553,Metabolic pathways(ko01100)
neg_5947,Eicosanoyl-CoA,C02041,Biosynthesis of unsaturated fatty acids(ko01040);;Fatty acid metabolism(ko01212)
neg_5963,Cerotoyl-CoA,C21932,Biosynthesis of unsaturated fatty acids(ko01040);;Fatty acid metabolism(ko01212)
neg_6022,Phenylacetylglycine,C05598,Phenylalanine metabolism(ko00360)
neg_6025,Didanosine,C06953,--
neg_6027,Stemmadenine,C11691,Metabolic pathways(ko01100)
neg_6097,Precorrin 6X,C06320,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_6116,KAPA,C01092,Biotin metabolism(ko00780);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_6175,Morphine-6-glucuronide,C16578,Drug metabolism - cytochrome P450(ko00982);;Bile secretion(ko04976)
neg_6183,Novobiocin,C05080,Metabolic pathways(ko01100)
neg_6189,4-Methylthiobutylthiohydroximate,C17243,2-Oxocarboxylic acid metabolism(ko01210)
neg_6192,D-Glucosaminate-6-phosphate,C20589,Pentose phosphate pathway(ko00030)
neg_6195,Rutarin,C09309,--
neg_6223,2-Hydroxypyridine,C02502,--
neg_6257,Squalamine,C16841,--
neg_6271,(10S)-Juvenile hormone III diol phosphate,C16507,Insect hormone biosynthesis(ko00981)
neg_6282,Lividomycin A,C17707,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_6287,o-Cresol,C01542,Metabolic pathways(ko01100)
neg_6288,4-Hydroxybenzaldehyde,C00633,Metabolic pathways(ko01100)
neg_6291,5-Hydroxyferulate,C05619,Metabolic pathways(ko01100)
neg_6308,Gentamicin A2,C17701,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_6342,3-alpha(S)-Strictosidine,C03470,Metabolic pathways(ko01100)
neg_6346,N-Acetyl-L-leucine,C02710,--
neg_6348,Succinate semialdehyde,C00232,"Alanine, aspartate and glutamate metabolism(ko00250);;Tyrosine metabolism(ko00350);;Butanoate metabolism(ko00650);;Vitamin B6 metabolism(ko00750);;Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200)"
neg_6351,"dTDP-3,4-dioxo-2,6-dideoxy-D-glucose",C06620,Polyketide sugar unit biosynthesis(ko00523);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_6366,"2',3'-Cyclic UMP",C02355,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_6367,5-O-Caffeoylshikimic acid,C10434,Metabolic pathways(ko01100)
neg_6475,sn-Glycero-3-phosphoethanolamine,C01233,Glycerophospholipid metabolism(ko00564);;Ether lipid metabolism(ko00565);;Metabolic pathways(ko01100)
neg_6486,Suberic acid,C08278,--
neg_6512,Dialdehyde,C11678,--
neg_6533,Isomaltotriose,C02160,ABC transporters(ko02010)
neg_6544,Tamarixetin,C10188,--
neg_6601,Apigenin 7-O-glucoside,C04608,--
neg_6614,Tranexamic Acid,C12535,--
neg_6636,(3Z)-Phycocyanobilin,C05786,Porphyrin metabolism(ko00860)
neg_6647,"4,21-Dehydrogeissoschizine",C03677,Metabolic pathways(ko01100)
neg_6668,N(omega)-Hydroxyarginine,C05933,Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100)
neg_6671,5-Methoxytryptamine,C05659,Tryptophan metabolism(ko00380)
neg_6713,Protoporphyrin,C02191,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_6717,4-Methylthiobutanaldoxime,C17241,2-Oxocarboxylic acid metabolism(ko01210)
neg_6720,Anhydrotetracycline,C02811,Metabolic pathways(ko01100)
neg_6732,4-Hydroxystyrene,C05627,--
neg_6733,4-Hydroxycinnamyl aldehyde,C05608,Metabolic pathways(ko01100)
neg_6737,"5,6,7,8-Tetrahydromonapterin",C21007,Folate biosynthesis(ko00790)
neg_6745,(3Z)-Phytochromobilin,C05913,Porphyrin metabolism(ko00860)
neg_6747,6'''-Deamino-6'''-hydroxyparomomycin II,C21262,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_6754,N1-Acetyl-tabtoxinine-beta-lactam,C20921,Monobactam biosynthesis(ko00261)
neg_6836,Moxifloxacin,C07663,ABC transporters(ko02010)
neg_6846,(Z)-3-Peroxyaminoacrylate,C20249,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_6849,Ascorbate,C00072,Ascorbate and aldarate metabolism(ko00053);;Glutathione metabolism(ko00480);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;HIF-1 signaling pathway(ko04066);;Vitamin digestion and absorption(ko04977)
neg_6852,"2,6-Dihydroxypseudooxynicotine",C15986,Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100)
neg_6876,(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine,C21070,Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_6888,N-Acetylindoxyl,C02298,Tryptophan metabolism(ko00380)
neg_6921,6'-Oxokanamycin X,C21251,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_7048,9-Oxononanoic acid,C16322,alpha-Linolenic acid metabolism(ko00592)
neg_7072,Isoniazid,C07054,Drug metabolism - other enzymes(ko00983)
neg_7116,Umbelliferone,C09315,--
neg_7120,Indoleacetaldehyde,C00637,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_7137,2-Methoxyestrone 3-glucuronide,C11132,Steroid hormone biosynthesis(ko00140)
neg_7143,Deoxyshikonin,C18133,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130)
neg_7146,"5,7-Dihydroxyflavone",C10028,--
neg_7151,Dihydrofolate,C00415,One carbon pool by folate(ko00670);;Folate biosynthesis(ko00790);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Antifolate resistance(ko01523)
neg_7161,Benomyl,C10896,--
neg_7167,Cortolone,C05481,Steroid hormone biosynthesis(ko00140)
neg_7168,"cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol",C11588,Phenylalanine metabolism(ko00360);;Metabolic pathways(ko01100)
neg_7178,Red chlorophyll catabolite,C18022,Porphyrin metabolism(ko00860)
neg_7237,6-Thioinosine-5'-monophosphate,C04646,Drug metabolism - other enzymes(ko00983)
neg_7252,3-Dehydroshikimate,C02637,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240)"
neg_7260,IPA imine,C21124,Metabolic pathways(ko01100)
neg_7275,Linatine,C05939,D-Amino acid metabolism(ko00470)
neg_7280,L-xylo-Hexulonolactone,C03289,Ascorbate and aldarate metabolism(ko00053);;Metabolic pathways(ko01100)
neg_7282,Norlaudanosoline,C06350,--
neg_7288,Aloin A,C10305,--
neg_7290,RSL3,C21479,Ferroptosis(ko04216)
neg_7293,FMN,C00061,Oxidative phosphorylation(ko00190);;Riboflavin metabolism(ko00740);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Vitamin digestion and absorption(ko04977)
neg_7294,Premithramycinone,C12383,Metabolic pathways(ko01100)
neg_7298,5-phosphonooxy-L-lysine,C03366,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_7301,Poncirin,C09830,--
neg_7321,"dTDP-4-oxo-2,3,6-trideoxy-D-glucose",C18032,Polyketide sugar unit biosynthesis(ko00523);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_7323,9-Hydroxy-12-oxo-15(Z)-octadecenoic acid,C21924,alpha-Linolenic acid metabolism(ko00592)
neg_7362,Didemethylcitalopram,C16609,Drug metabolism - cytochrome P450(ko00982)
neg_7386,"(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate",C19831,Metabolic pathways(ko01100)
neg_7418,D-Lactic acid,C00256,Pyruvate metabolism(ko00620);;Metabolic pathways(ko01100)
neg_7437,Staphyloferrin B,C22075,Metabolic pathways(ko01100)
neg_7446,2-Oxo-5-methylthiopentanoic acid,C17211,2-Oxocarboxylic acid metabolism(ko01210)
neg_7447,5-Methoxyindoleacetate,C05660,Tryptophan metabolism(ko00380)
neg_7450,2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II,C21261,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_7456,D-Erythrose 4-phosphate,C00279,"Pentose phosphate pathway(ko00030);;Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Vitamin B6 metabolism(ko00750);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240)"
neg_7459,Sedoheptulose,C02076,Metabolic pathways(ko01100)
neg_7465,Dihydrodemethylsterigmatocystin,C20444,Metabolic pathways(ko01100)
neg_7466,(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate,C04712,Penicillin and cephalosporin biosynthesis(ko00311)
neg_7476,Hypoxanthine,C00262,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_7485,4-Coumaroylshikimate,C02947,Metabolic pathways(ko01100)
neg_7488,Verbenalin,C09802,--
neg_7522,Irilone,C10467,--
neg_7533,(S)-2-Hydroxypropylphosphonate,C06452,Metabolic pathways(ko01100)
neg_7535,Coumarin,C05851,--
neg_7537,D-Xylonolactone,C02266,Pentose and glucuronate interconversions(ko00040);;Metabolic pathways(ko01100)
neg_7539,"5-Phenyl-1,3-oxazinane-2,4-dione",C16596,Drug metabolism - cytochrome P450(ko00982)
neg_7546,"1-Nitro-5,6-dihydroxy-dihydronaphthalene",C14801,Metabolism of xenobiotics by cytochrome P450(ko00980)
neg_7561,S-Formylglutathione,C01031,Metabolic pathways(ko01100)
neg_7564,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,C04823,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
neg_7568,ITP,C00081,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_7571,dTDP-4-oxo-2-deoxy-beta-L-xylose,C21353,Polyketide sugar unit biosynthesis(ko00523)
neg_7572,"2,5-Diaminopyrimidine nucleoside triphosphate",C05923,Folate biosynthesis(ko00790);;Metabolic pathways(ko01100)
neg_7573,dTDP-4-deoxy-4-thio-alpha-D-digitoxose,C21349,Polyketide sugar unit biosynthesis(ko00523)
neg_7601,Hydroxymethylphosphonate,C06455,Phosphonate and phosphinate metabolism(ko00440)
neg_7602,D-Arabinose 5-phosphate,C01112,Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_7607,Cephaloridine,C11754,Bile secretion(ko04976)
neg_7608,Maltotriose,C01835,ABC transporters(ko02010);;Carbohydrate digestion and absorption(ko04973)
neg_7618,4-Ethylphenol,C13637,--
neg_7635,(S)-Coclaurine,C06161,Metabolic pathways(ko01100)
neg_7647,all-trans-Decaprenyl diphosphate,C17432,Terpenoid backbone biosynthesis(ko00900)
neg_7727,Azatyrosine,C21325,Metabolic pathways(ko01100)
neg_7728,Guanidinoproclavaminic acid,C06657,Metabolic pathways(ko01100)
neg_7746,Bis(glutathionyl)spermine disulfide,C16564,Glutathione metabolism(ko00480)
neg_7758,Skatole,C08313,Tryptophan metabolism(ko00380)
neg_7773,Butanoylphosphate,C02527,Butanoate metabolism(ko00650);;Metabolic pathways(ko01100)
neg_7775,Aloin,C10305,--
neg_7787,(S)-Ureidoglycine,C02091,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
