#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_12367,11-Deoxycortisol,C05488,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934)
neg_12391,Trypanothione disulfide,C03170,Glutathione metabolism(ko00480);;Metabolic pathways(ko01100)
neg_12405,12-OPDA,C01226,alpha-Linolenic acid metabolism(ko00592);;Metabolic pathways(ko01100)
neg_12439,Calcitriol,C01673,"Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100);;Parathyroid hormone synthesis, secretion and action(ko04928);;Endocrine and other factor-regulated calcium reabsorption(ko04961);;Mineral absorption(ko04978);;Tuberculosis(ko05152)"
neg_12488,9(S)-HPOT,C16321,alpha-Linolenic acid metabolism(ko00592)
neg_12583,Hexadecanoic acid,C00249,"Fatty acid biosynthesis(ko00061);;Fatty acid elongation(ko00062);;Fatty acid degradation(ko00071);;Cutin, suberine and wax biosynthesis(ko00073);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100);;Fatty acid metabolism(ko01212)"
neg_12631,"11beta,21-Dihydroxy-5beta-pregnane-3,20-dione",C05475,Steroid hormone biosynthesis(ko00140)
neg_12636,Fumitremorgin A,C20564,Metabolic pathways(ko01100)
neg_12639,Contignasterol,C19902,--
neg_12667,Gymnodimine,C20025,--
neg_12704,20alpha-Hydroxycholesterol,C05500,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_12707,2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C,C17587,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_12713,Pikromycin,C11999,Metabolic pathways(ko01100)
neg_12718,Abietinal,C11887,Metabolic pathways(ko01100)
neg_12829,Pelargonic acid,C01601,--
neg_12830,"(9S,10S)-9,10-dihydroxyoctadecanoate",C15988,--
neg_12893,Indinavir,C07051,Bile secretion(ko04976)
neg_13082,Cucurbitacin A,C08793,--
neg_13091,17alpha-Hydroxyprogesterone,C01176,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Ovarian steroidogenesis(ko04913);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934)
neg_13117,Succinate,C00042,"Citrate cycle (TCA cycle)(ko00020);;Oxidative phosphorylation(ko00190);;Alanine, aspartate and glutamate metabolism(ko00250);;Lysine degradation(ko00310);;Tyrosine metabolism(ko00350);;Phenylalanine metabolism(ko00360);;Pyruvate metabolism(ko00620);;Glyoxylate and dicarboxylate metabolism(ko00630);;Propanoate metabolism(ko00640);;Butanoate metabolism(ko00650);;Nicotinate and nicotinamide metabolism(ko00760);;Sulfur metabolism(ko00920);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;cAMP signaling pathway(ko04024);;GABAergic synapse(ko04727);;Glucagon signaling pathway(ko04922);;Central carbon metabolism in cancer(ko05230)"
neg_13119,beta-Phellandrene,C19818,--
neg_13120,Geranic acid,C16461,--
neg_13143,Homotrypanothione disulfide,C16568,Glutathione metabolism(ko00480)
neg_13154,"Cyclooctat-9-ene-5,7-diol",C21978,Metabolic pathways(ko01100)
neg_13157,Calcidiol,C01561,"Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100);;Parathyroid hormone synthesis, secretion and action(ko04928);;Tuberculosis(ko05152)"
neg_13166,16-Oxopalmitate,C19614,"Cutin, suberine and wax biosynthesis(ko00073);;Metabolic pathways(ko01100)"
neg_13167,Ethisterone,C14487,--
neg_13168,11-Dehydrocorticosterone,C05490,Steroid hormone biosynthesis(ko00140)
neg_13182,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one",C15606,Cysteine and methionine metabolism(ko00270);;Metabolic pathways(ko01100)
neg_13186,isopimaric acid,C09118,--
neg_13197,"20alpha,22beta-Dihydroxycholesterol",C05501,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_13214,16-Hydroxypalmitate,C18218,"Cutin, suberine and wax biosynthesis(ko00073);;Metabolic pathways(ko01100)"
neg_13248,(9Z)-Octadecenoic acid,C00712,"Fatty acid biosynthesis(ko00061);;Cutin, suberine and wax biosynthesis(ko00073);;Biosynthesis of unsaturated fatty acids(ko01040);;Longevity regulating pathway - worm(ko04212)"
neg_13319,Plastoquinol-1,C02185,Metabolic pathways(ko01100)
neg_13325,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1a'' aglycone",C11977,Metabolic pathways(ko01100)
neg_13340,Lupinine,C10773,--
neg_13372,Testosterone propionate,C08158,--
neg_13439,Himbacine,C10598,--
neg_13475,5-O-beta-D-Mycaminosyltylonolide,C12002,Metabolic pathways(ko01100)
neg_13499,D-Xylonate,C00502,Pentose and glucuronate interconversions(ko00040);;Metabolic pathways(ko01100)
