#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10377,Aspartame,HMDB0001894,22839-47-0,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10379,8-Epiloganic acid,HMDB0247433,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
pos_10381,N-Oleoyl GABA,HMDB0062335,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10385,Armillaripin,HMDB0030404,129741-56-6,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
pos_10386,Triamcinolone Diacetate,HMDB0014758,124-94-7,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
pos_10390,Hordatine B,HMDB0030459,10502-21-3,Organic compounds,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,--
pos_10394,"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",HMDB0285230,--,--,--,--,--
pos_10398,CPA(16:0/0:0),HMDB0007003,--,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates
pos_10407,Eicosanoyl-EA,HMDB0248559,--,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
pos_10412,Tetracosanedioic acid,HMDB0302983,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
pos_10416,ANETHOLE,HMDB0030837,4180-23-8,Organic compounds,Benzenoids,Phenol ethers,Anisoles
pos_10417,Tartaric acid,HMDB0000956,87-69-4,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_10418,"6-(Hydroxymethyl)-2,4(1H,3H)-pteridinedione",HMDB0033245,10129-99-4,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,--
pos_10419,Chrycorin,HMDB0035149,91362-90-2,Organic compounds,Organoheterocyclic compounds,Oxanes,--
pos_10433,3-Hydroxy-4-butanolide,HMDB0034681,211107-44-7,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_10438,Phytantriol,HMDB0256517,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids
pos_10448,Cyclosquamosin G,HMDB0303372,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
