"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-0.0965847033333334,-0.917524558945059,0.380464575902302,1,"Bonferroni"
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",98.89798881,9,0.00269979606326019,0.00269979606326019,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"LVX","Model","LVX - Model",8.01049643,0.11,0.740144135804575,0.740144135804575,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-8.21537144,0.782222222222222,0.376462365767638,0.376462365767638,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-22.84133344,0.4,0.527089256865538,0.527089256865538,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-24.24245265,0.782222222222222,0.376462365767638,0.376462365767638,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-76.20928837,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-76.18981902,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-76.52376538,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-76.55098686,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-76.55842949,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-1.828225165,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-2.20411798,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-1.71259054,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-2.056321795,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-2.23604964,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",88.67609844,9,0.00269979606326019,0.00269979606326019,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"LVX","Model","LVX - Model",1.90298978999999,0.11,0.740144135804575,0.740144135804575,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-17.001107345,0.782222222222222,0.376462365767638,0.376462365767638,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-5.84083421000001,0.4,0.527089256865538,0.527089256865538,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-20.836643365,0.782222222222222,0.376462365767638,0.376462365767638,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-91.85361083,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-91.035521315,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-92.88066857,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-93.000004585,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-92.57286851,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"Control","Model","Control - Model",-1052.27940287333,-3.93407184431882,0.00280166865083797,0.0140083432541899,"Bonferroni"
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"LVX","Model","LVX - Model",957.98690403,3.48759267028167,0.00584649254840137,0.0292324627420068,"Bonferroni"
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",963.258926916667,3.61649332917419,0.00471701894167271,0.0235850947083636,"Bonferroni"
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",608.697782366667,2.20116568902225,0.0523377009296013,0.261688504648006,"Bonferroni"
