"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140297","DNA-binding transcription factor binding","4/9","497/18662",0.00804828973843058,16.6885758998435,7.78678856507295,5.63034195197775e-05,0.00432694949183976,0.00148027219457676,"BCL2/MAPK14/PPARG/SIRT1",4
"GO:0051019","mitogen-activated protein kinase binding","2/9","27/18662",0.0740740740740741,153.59670781893,17.4291703102295,7.2115824863996e-05,0.00432694949183976,0.00148027219457676,"MAPK14/SIRT1",2
"GO:0004712","protein serine/threonine/tyrosine kinase activity","2/9","43/18662",0.0465116279069767,96.4444444444444,13.7632523340079,0.000184787543907089,0.00739150175628356,0.00252867165346543,"AKT1/MAPK14",2
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","3/9","355/18662",0.00845070422535211,17.5230046948357,6.90413028317419,0.000526544762729108,0.0157963428818733,0.00540401203853559,"MAPK14/PPARG/SIRT1",3
"GO:0004860","protein kinase inhibitor activity","2/9","91/18662",0.021978021978022,45.5726495726496,9.36237146188627,0.000827983814523489,0.0181127428869951,0.00619646467186675,"AKT1/PTPRC",2
"GO:0019210","kinase inhibitor activity","2/9","96/18662",0.0208333333333333,43.1990740740741,9.10528892822794,0.000920850699165655,0.0181127428869951,0.00619646467186675,"AKT1/PTPRC",2
"GO:0004857","enzyme inhibitor activity","3/9","451/18662",0.00665188470066519,13.7930524759793,6.04101509777668,0.00105657666840805,0.0181127428869951,0.00619646467186675,"AKT1/PTPRC/SIRT1",3
"GO:0016922","nuclear receptor binding","2/9","139/18662",0.0143884892086331,29.8353317346123,7.49533511602328,0.00191607581869459,0.0287411372804189,0.00983249433277489,"PPARG/SIRT1",2
"GO:0019903","protein phosphatase binding","2/9","150/18662",0.0133333333333333,27.6474074074074,7.1976095978522,0.00222638353373343,0.0296851137831123,0.0101554336626437,"BCL2/MAPK14",2
"GO:0016247","channel regulator activity","2/9","182/18662",0.010989010989011,22.7863247863248,6.48758484044335,0.00325530367949075,0.0306390497520734,0.0104817801783409,"AKT1/BCL2",2
"GO:0141108","transporter regulator activity","2/9","196/18662",0.0102040816326531,21.1587301587302,6.23188108431789,0.00376364840522637,0.0306390497520734,0.0104817801783409,"AKT1/BCL2",2
"GO:0019902","phosphatase binding","2/9","197/18662",0.0101522842639594,21.0513254371122,6.21463903913293,0.00380129745462218,0.0306390497520734,0.0104817801783409,"BCL2/MAPK14",2
