"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0019216","regulation of lipid metabolic process","4/9","358/18860",0.0111731843575419,23.4140285536934,9.35546727849133,1.49193507257473e-05,0.000404065748822322,9.3965735272689e-05,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0062012","regulation of small molecule metabolic process","4/9","360/18860",0.0111111111111111,23.283950617284,9.32762250971992,1.52504239452473e-05,0.00040626129362339,9.44763105495042e-05,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:1904179","positive regulation of adipose tissue development","2/9","13/18860",0.153846153846154,322.393162393162,25.3279816044341,1.57465116720853e-05,0.000412710991405461,9.59761916855452e-05,"PPARG/SIRT1",2
"BP","GO:0002237","response to molecule of bacterial origin","4/9","375/18860",0.0106666666666667,22.3525925925926,9.12577818610355,1.79097039189185e-05,0.00045473857606629,0.000105749732021246,"AKT1/CASP1/MAPK14/MMP9",4
"BP","GO:0031401","positive regulation of protein modification process","4/9","375/18860",0.0106666666666667,22.3525925925926,9.12577818610355,1.79097039189185e-05,0.00045473857606629,0.000105749732021246,"AKT1/MMP9/PTPRC/SIRT1",4
"BP","GO:0008637","apoptotic mitochondrial changes","3/9","116/18860",0.0258620689655172,54.1954022988506,12.5569840539055,1.85376200328122e-05,0.000463440500820304,0.000107773369907361,"AKT1/BCL2/MMP9",3
"BP","GO:0015908","fatty acid transport","3/9","119/18860",0.0252100840336134,52.8291316526611,12.3926567643227,2.00122643928669e-05,0.000490379265491987,0.000114037995991335,"AKT1/PPARG/PTGS2",3
"BP","GO:0001932","regulation of protein phosphorylation","4/9","387/18860",0.0103359173126615,21.6594889463107,8.97262939056073,2.02723214285412e-05,0.000490379265491987,0.000114037995991335,"AKT1/MMP9/PTPRC/SIRT1",4
"BP","GO:0010821","regulation of mitochondrion organization","3/9","120/18860",0.025,52.3888888888889,12.3392409729731,2.05204861867416e-05,0.000490379265491987,0.000114037995991335,"AKT1/MMP9/PPARG",3
"BP","GO:0031392","regulation of prostaglandin biosynthetic process","2/9","15/18860",0.133333333333333,279.407407407407,23.5690312909372,2.11867364067373e-05,0.000491834952299259,0.000114376516842386,"PTGS2/SIRT1",2
"BP","GO:0070141","response to UV-A","2/9","15/18860",0.133333333333333,279.407407407407,23.5690312909372,2.11867364067373e-05,0.000491834952299259,0.000114376516842386,"AKT1/MMP9",2
"BP","GO:1901796","regulation of signal transduction by p53 class mediator","3/9","123/18860",0.024390243902439,51.1111111111111,12.1828794823638,2.20961096937917e-05,0.000505720820456499,0.000117605683915066,"AKT1/BCL2/SIRT1",3
"BP","GO:0071482","cellular response to light stimulus","3/9","124/18860",0.0241935483870968,50.6989247311828,12.1320106971451,2.26385262424864e-05,0.000510870885373818,0.000118803334639158,"MAPK14/MMP9/SIRT1",3
"BP","GO:0071887","leukocyte apoptotic process","3/9","125/18860",0.024,50.2933333333333,12.081746893352,2.3189658315166e-05,0.000510870885373818,0.000118803334639158,"AKT1/BCL2/SIRT1",3
"BP","GO:0035655","interleukin-18-mediated signaling pathway","2/9","16/18860",0.125,261.944444444444,22.8157572185106,2.42074204146363e-05,0.000510870885373818,0.000118803334639158,"AKT1/CASP1",2
"BP","GO:0071351","cellular response to interleukin-18","2/9","16/18860",0.125,261.944444444444,22.8157572185106,2.42074204146363e-05,0.000510870885373818,0.000118803334639158,"AKT1/CASP1",2
"BP","GO:0090336","positive regulation of brown fat cell differentiation","2/9","16/18860",0.125,261.944444444444,22.8157572185106,2.42074204146363e-05,0.000510870885373818,0.000118803334639158,"MAPK14/PTGS2",2
"BP","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","2/9","16/18860",0.125,261.944444444444,22.8157572185106,2.42074204146363e-05,0.000510870885373818,0.000118803334639158,"BCL2/SIRT1",2
