"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","3/9","227/9399",0.013215859030837,13.8017621145374,6.04445066583285,0.00104860517775436,0.00400620952526667,0.00161323873500671,"AKT1/MAPK14/PTGS2",3
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","2/9","59/9399",0.0338983050847458,35.4011299435028,8.20599889838152,0.00135569763787225,0.00504997370107415,0.00203354645680838,"AKT1/PTGS2",2
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","2/9","62/9399",0.032258064516129,33.6881720430108,7.99445715505179,0.00149608587698434,0.00543699501635773,0.00218939396631855,"AKT1/SIRT1",2
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","2/9","69/9399",0.0289855072463768,30.2705314009662,7.55475716906171,0.00184961466490078,0.00656172821595753,0.00264230666414397,"AKT1/MAPK14",2
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/9","71/9399",0.028169014084507,29.4178403755869,7.44101457240166,0.00195725624220664,0.00678212046718114,0.00273105522168368,"AKT1/MAPK14",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","2/9","75/9399",0.0266666666666667,27.8488888888889,7.22706558331451,0.00218132472063242,0.0073867587130507,0.0029745337099533,"AKT1/BCL2",2
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","2/9","78/9399",0.0256410256410256,26.7777777777778,7.07730157118827,0.00235702754861823,0.00763471966835037,0.00307438375906726,"CASP1/MAPK14",2
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","2/9","78/9399",0.0256410256410256,26.7777777777778,7.07730157118827,0.00235702754861823,0.00763471966835037,0.00307438375906726,"MAPK14/PTGS2",2
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","2/9","80/9399",0.025,26.1083333333333,6.98207327303836,0.00247778937473487,0.00785511950713822,0.00316313537200197,"AKT1/BCL2",2
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","2/9","87/9399",0.0229885057471264,24.007662835249,6.67447062437377,0.00292316157431227,0.009073980720261,0.00365395196789033,"AKT1/BCL2",2
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","2/9","90/9399",0.0222222222222222,23.2074074074074,6.55350716397472,0.0031247803781334,0.00950188319065055,0.00382626168751029,"AKT1/MAPK14",2
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","2/9","98/9399",0.0204081632653061,21.312925170068,6.25787470161398,0.00369365458869264,0.0110070906743041,0.00443238550643117,"AKT1/PTPRC",2
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","2/9","103/9399",0.0194174757281553,20.2783171521036,6.09040052796696,0.00407207185725009,0.0118871810190824,0.00478678430298621,"AKT1/MAPK14",2
