"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"LMNB1",1.49253810785739,7.71074745236352,8.91490141555587,1.26722293165594e-12,6.5822282028575e-11,18.467241471345,"Up"
"NDUFB3",1.88563105985745,8.87579112140959,8.91352051130538,1.27406893537988e-12,6.60414289390724e-11,18.4619256655977,"Up"
"HIST1H2BD",1.22617357546605,7.80116798250008,8.91124960963672,1.28540809418914e-12,6.6385516803894e-11,18.4531835275669,"Up"
"LOC653888",0.99948570912429,10.4046999162898,8.91098219133134,1.28675003272834e-12,6.6385516803894e-11,18.4521540425214,"Up"
"EBI2",-1.57832039742019,7.86353096439335,-8.91060823240318,1.28862896580351e-12,6.6385516803894e-11,18.4507143981104,"Down"
"CDC42SE2",-0.976746352281006,9.65768387227279,-8.89153261020501,1.38822062023834e-12,7.10791576227939e-11,18.3772658692268,"Down"
"CIRBP",-0.867316844130412,9.34719584607651,-8.88346550875837,1.43263115575956e-12,7.32039578369822e-11,18.3461971558492,"Down"
"NARS",-0.948800262596178,9.49797359952374,-8.88276536977993,1.43655218067739e-12,7.32554195177071e-11,18.3435005184543,"Down"
"GZMK",-2.02081675324012,8.42472372092876,-8.87142697527945,1.50157319086723e-12,7.61113284951535e-11,18.2998253732989,"Down"
"POR",1.09269031800796,7.71596273490491,8.87141565290711,1.50163957571981e-12,7.61113284951535e-11,18.2997817556686,"Up"
"LOC730953",1.18651301607618,6.80941258953441,8.86941009618403,1.51344509996158e-12,7.65553517364871e-11,18.2920555369625,"Up"
"LEPROTL1",-1.08660120593441,9.45023029098531,-8.86306135891535,1.55143453955273e-12,7.83194062738062e-11,18.2675958972313,"Down"
"GBA",1.21222573566325,8.31857282670562,8.85417597873755,1.60621653433646e-12,8.04388120980449e-11,18.2333589999053,"Up"
"TNFSF10",1.08636235395477,10.0421966790581,8.85173107850652,1.6216283551622e-12,8.08883667634477e-11,18.2239374841104,"Up"
"IMP4",-0.947756875638458,8.63422610563289,-8.84935633902316,1.63674009265345e-12,8.14804869887282e-11,18.2147859667693,"Down"
"ATM",-1.11457988828828,7.88742018842199,-8.84451634845647,1.66797888262124e-12,8.28715199784545e-11,18.1961330057855,"Down"
"ECHDC2",-1.23239387241149,7.84471771618443,-8.84294305137733,1.67826184788062e-12,8.32179543505301e-11,18.1900693130402,"Down"
"GADD45B",0.833785760881824,7.72803708433813,8.83556314033,1.72735279407469e-12,8.54835615020429e-11,18.1616240572362,"Up"
"LDHB",-1.69991723088484,9.42244474503779,-8.83491104566749,1.73175925043839e-12,8.553325649513e-11,18.1591104452138,"Down"
"MTX1",0.858544436610595,8.0102645477973,8.83177579829185,1.75310347631815e-12,8.62852172403578e-11,18.1470247121612,"Up"
"LTA",-0.988984664203157,7.40004447994194,-8.81164417562366,1.89659467055095e-12,9.31257617532246e-11,18.0694066187316,"Down"
"MEX3C",-1.00921378086991,7.5851191167032,-8.80149745223049,1.97332990357715e-12,9.6704705216237e-11,18.0302759566047,"Down"
"GCN1L1",-1.10600021733595,7.49612526318008,-8.79657867184975,2.01164299316301e-12,9.83904763582065e-11,18.0113044551016,"Down"
"COX7A2",1.36521890279426,10.6334236138684,8.79271384552498,2.04227006353768e-12,9.96945036841503e-11,17.9963969502722,"Up"
"TMEM167",0.955287030307328,7.04829516536171,8.78896008508167,2.07246521843844e-12,1.00972433316942e-10,17.981916966275,"Up"
"LOC642103",1.65080002627406,8.08555562201214,8.78367782395834,2.11571648552753e-12,1.02880294866851e-10,17.9615393776429,"Up"
"MYBPC3",1.24255980044946,7.03289091201365,8.77970690115022,2.14882632419856e-12,1.04087656628809e-10,17.9462194603779,"Up"
"EXOSC4",1.85616806719352,6.63430917439618,8.77120656051018,2.22146244044374e-12,1.07399164909145e-10,17.9134216901722,"Up"
"ATL3",1.04329535943151,7.24492302101925,8.76129645939853,2.30926410756026e-12,1.11429749835057e-10,17.8751789300714,"Up"
"GK",1.17715231303233,8.22022358442716,8.74874119304575,2.4255238130251e-12,1.16794380116638e-10,17.8267200294052,"Up"
"SP4",-1.11475957707365,7.37682794937976,-8.74829815535975,2.42973193321406e-12,1.16794380116638e-10,17.8250098869071,"Down"
"GADD45A",1.89597295198655,7.85389209387578,8.74411855488665,2.46979375359438e-12,1.18493540010234e-10,17.8088758895453,"Up"
"RPS21",0.945595105781151,7.32835056411939,8.73777440621639,2.53187407826044e-12,1.20928855346415e-10,17.7843843581813,"Up"
"LOC387841",-0.872343862556262,12.3612469672435,-8.73610422535003,2.54847650124285e-12,1.21342233411449e-10,17.7779362405474,"Down"
"ARPC1A",0.96296312090388,7.98199875561446,8.72496336308825,2.66205390749302e-12,1.26398093516872e-10,17.7349201457946,"Up"
"HNRNPD",-0.874168184806834,10.9062714476033,-8.71797509220992,2.73587699573157e-12,1.2952909166232e-10,17.7079339252568,"Down"
"DENND2D",-0.956656756288742,9.07922339725736,-8.70481218396747,2.88055660224204e-12,1.35867153809315e-10,17.657095683423,"Down"
