id.exposure,id.outcome,exposure,outcome,I2,H2,QE,QEp
P10746,J10_PNEUMOBACT,UROS,Bacterial pneumoniae,0,0.272959969550388,0.818879908651165,0.844946082523624
P12318,J10_PNEUMOBACT,FCGR2A,Bacterial pneumoniae,22.5460494039496,1.29108972790213,49.061409660281,0.107854457990253
P12532,J10_PNEUMOBACT,CKMT1A,Bacterial pneumoniae,1.72552845012326,1.017558257225,14.2458156011499,0.431562814763177
P12830,J10_PNEUMOBACT,CDH1,Bacterial pneumoniae,0,0.842739786251962,24.4394538013069,0.706979382318578
P13236,J10_PNEUMOBACT,CCL4,Bacterial pneumoniae,1.59995242486112,1.0162596712531,32.5203094800992,0.441158402170317
P14151,J10_PNEUMOBACT,SELL,Bacterial pneumoniae,14.1223412804558,1.16444720886693,36.0978634748748,0.242371368959345
P15311,J10_PNEUMOBACT,EZR,Bacterial pneumoniae,10.6310886697716,1.11895734782411,3.35687204347232,0.339805230053782
P15328,J10_PNEUMOBACT,FOLR1,Bacterial pneumoniae,21.3940460363989,1.27216826407711,16.5381874330025,0.221284207439544
P16860,J10_PNEUMOBACT,NPPB,Bacterial pneumoniae,0,0.93743448889955,2.81230346669865,0.421478550190572
P17936,J10_PNEUMOBACT,IGFBP3,Bacterial pneumoniae,0,0.578526026878143,21.9839890213694,0.982429301369677
P18827,J10_PNEUMOBACT,SDC1,Bacterial pneumoniae,28.0406044461439,1.38967259563982,31.9624696997159,0.100926428076894
P19838,J10_PNEUMOBACT,NFKB1,Bacterial pneumoniae,0,0.613977477290243,3.68386486374146,0.719368058748771
P20061,J10_PNEUMOBACT,TCN1,Bacterial pneumoniae,0,0.978667332280455,59.6987072691077,0.523185494324957
P20138,J10_PNEUMOBACT,CD33,Bacterial pneumoniae,37.6609655199828,1.60413135740906,62.5611229389533,0.00970927789180023
P21802,J10_PNEUMOBACT,FGFR2,Bacterial pneumoniae,0,0.90516437116303,15.3877943097715,0.567570987041977
P21860,J10_PNEUMOBACT,ERBB3,Bacterial pneumoniae,10.2193997763912,1.11382636951567,22.2765273903134,0.325696007106951
P21964,J10_PNEUMOBACT,COMT,Bacterial pneumoniae,43.0310519998689,1.75534222608025,28.085475617284,0.0308842641609714
P22004,J10_PNEUMOBACT,BMP6,Bacterial pneumoniae,0,0.789962647516966,22.1189541304751,0.7757543875276
P23743,J10_PNEUMOBACT,DGKA,Bacterial pneumoniae,0,0.920097293752972,5.52058376251783,0.478972376631965
P24001,J10_PNEUMOBACT,IL32,Bacterial pneumoniae,43.6900319727186,1.77588451038636,47.9488817804317,0.0077797252971406
P29459_P29460,J10_PNEUMOBACT,IL12A,Bacterial pneumoniae,19.1745772923682,1.23723448204815,71.759599958793,0.105767453363157
P30043,J10_PNEUMOBACT,BLVRB,Bacterial pneumoniae,0,0.620641973115892,3.72385183869535,0.713987585049158
P30260,J10_PNEUMOBACT,CDC27,Bacterial pneumoniae,0,0.251689685630749,0.755069056892246,0.860180906386128
P30613,J10_PNEUMOBACT,PKLR,Bacterial pneumoniae,0,0.690038759744294,5.52031007795435,0.700788783859277
P32971,J10_PNEUMOBACT,TNFSF8,Bacterial pneumoniae,31.4463399071536,1.458711319929,40.843916958012,0.0555005184177753
P34130,J10_PNEUMOBACT,NTF4,Bacterial pneumoniae,0,0.242962122672335,0.971848490689338,0.914034210081487
P35218,J10_PNEUMOBACT,CA5A,Bacterial pneumoniae,16.1833085064762,1.19307978182039,27.4408349818689,0.23766731170031
P35611,J10_PNEUMOBACT,ADD1,Bacterial pneumoniae,0,0.762212188344793,3.04884875337917,0.549684220833105
P35625,J10_PNEUMOBACT,TIMP3,Bacterial pneumoniae,0,0.791125889853387,38.765168602816,0.852562320883438
P36980,J10_PNEUMOBACT,CFHR2,Bacterial pneumoniae,25.0504308827822,1.33423048561633,45.3638365109551,0.0921170383315232
P42081,J10_PNEUMOBACT,CD86,Bacterial pneumoniae,0,0.880497539469186,31.6979114208907,0.673378407812059
P42768,J10_PNEUMOBACT,WAS,Bacterial pneumoniae,0,0.207687907824888,0.623063723474663,0.891132753993859
P43630,J10_PNEUMOBACT,KIR3DL2,Bacterial pneumoniae,0,0.29942491553785,0.5988498310757,0.741244376255689
P45984,J10_PNEUMOBACT,MAPK9,Bacterial pneumoniae,0,0.390234586296696,1.17070375889009,0.760038990756996
P48023,J10_PNEUMOBACT,FASLG,Bacterial pneumoniae,29.3630191620819,1.41568904579115,82.1099646558867,0.0203262422798243
P48304,J10_PNEUMOBACT,REG1B,Bacterial pneumoniae,26.2418982248409,1.35578326439088,29.8272318165994,0.122724410994578
P48307,J10_PNEUMOBACT,TFPI2,Bacterial pneumoniae,28.3865158257784,1.39638506844213,44.6843221901483,0.0674311260058682
P48730,J10_PNEUMOBACT,CSNK1D,Bacterial pneumoniae,0,0.251480613891896,0.754441841675687,0.860329958009693
