Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Oribacterium,0,0.000849347064444209,0.00020987827060305,0.0003747774758737,0.000301477238468496,0,0,0.00165734410607002,0,0,0.00106923282544774,0.000555709919422062,0.00111557340473003,0.000527704485488127,0.000285741499190399,0,0,0.000402284978678896,0,0.000451620187422378,0,0.000314722729275508,0,0.000275178866263071
Anaerosacchariphilus,0.00102052386891938,0.00106168383055526,0.000769553658877851,0.00103063805865267,0.000783840820018089,0,0.000309741365959424,0,0.00105726872246696,0.00110926234054354,0,0,0,0,0,0,0,0,0,0,0,0.000566500912695915,0.000242385069079745,0
Bacillus,0,0,0,0,0.000180886343081097,0.000825179771307321,0.000929224097878272,0.00124300807955252,0.00105726872246696,0,0.00133654103180968,0,0,0,0,0,0,0,0,0.00180648074968951,0,0.000566500912695915,0,0
Christensenella,0.000340174622973126,0,0.00020987827060305,0,0,0,0.000619482731918848,0.000828672053035011,0.00052863436123348,0.000554631170271769,0,0,0,0.00123131046613896,0,0,0,0.000321827982943117,0.000271296798697775,0,0.000204813108038914,0.000314722729275508,0.000444372626646199,0.000825536598789213
Anaeromassilibacillus,0,0.000743178681388683,0,0.000655860582778975,0,0.000353648473417423,0.000929224097878272,0,0,0,0.00133654103180968,0,0.000223114680946006,0,0,0,0.000343147347471004,0.000643655965886234,0,0,0.000307219662058372,0,0.000161590046053163,0.000206384149697303
Paenibacillus,0,0.000318505149166578,0,0.000655860582778975,0,0.000589414122362372,0.000619482731918848,0.000414336026517506,0.00105726872246696,0.000554631170271769,0.00106923282544774,0,0,0,0,0,0,0,0,0,0,0.000314722729275508,0,0
Mobilisporobacter,0,0,0.0001399188470687,0.000281083106905275,0.000904431715405487,0.00294707061181186,0,0,0,0,0,0,0.000557786702365016,0,0,0,0,0.000241370987207338,0,0.000451620187422378,0,0,0,0
Anaerotignum,0.000340174622973126,0.000318505149166578,0.0001399188470687,0,0.000602954476936991,0,0.000464612048939136,0.000621504039776259,0,0,0.000801924619085806,0,0.00145024542614904,0,0,0,0,0,0,0,0,0,0,0.000481563015960374
Hathewaya,0,0,0,0,0,0,0.000929224097878272,0,0.00140969162995595,0.00194120909595119,0.000801924619085806,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenuibacillus,0,0,0,0,0,0.000825179771307321,0,0.000828672053035011,0.00052863436123348,0,0.000267308206361935,0,0,0,0,0,0,0,0.000542593597395551,0,0,0.000503556366840813,0.000444372626646199,0.000825536598789213
Lactonifactor,0.000340174622973126,0,0,0,0,0.00176824236708712,0.000309741365959424,0,0.00052863436123348,0,0,0.000555709919422062,0,0,0,0,0,0,0.000271296798697775,0.000677430281133567,0,0,4.03975115132908e-05,0.000137589433131535
Faecalicatena,0,0.000212336766111052,0,0,0.000241181790774797,0,0.000464612048939136,0.00165734410607002,0,0.000554631170271769,0.000801924619085806,0,0,0,0,0,0,0,0.000180864532465184,0,0,0,0.000444372626646199,0
Tepidanaerobacter,0,0,0,0,0,0.00306495343628433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677430281133567,0,0,0,0
