Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Syntrophobacter,0,0,0,0,0,6.40699336139e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21405958224e-07,1.87947985771e-07,0,0,0
Syntrophobotulus,1.87850075942e-05,1.81256711844e-05,3.11757883227e-05,2.67655737226e-05,2.14651637451e-05,7.04769269753e-06,1.494399469e-05,1.94480752921e-05,1.30536934765e-05,1.07882408945e-05,1.48537279144e-05,1.23254474534e-05,3.45988495461e-05,3.59986373199e-05,3.55321697285e-05,4.04614071742e-05,4.22929452451e-05,8.58735829632e-05,7.64415084865e-06,2.84444273028e-05,2.2177862321e-05,1.69058990875e-05,1.30613732667e-05,9.16694112925e-06
Syntrophomonas,2.38916116005e-05,2.01622634524e-05,9.70743109451e-06,7.93054036224e-06,1.10879653783e-05,2.24244767649e-06,1.17160918369e-05,1.26412489398e-05,9.74896095078e-06,7.32059203554e-06,8.08702964226e-06,9.68428014193e-06,7.73551514241e-06,2.98525285092e-06,9.75990928164e-06,7.50375187594e-06,1.66903193879e-05,9.81412376722e-06,1.10415512258e-05,1.78380306814e-05,1.12768791463e-05,1.37255814374e-05,1.09351032e-05,1.42414978258e-05
Syntrophorhabdus,1.05779654414e-05,7.53539139128e-06,5.97380375047e-06,6.27834445344e-06,3.98029526399e-06,1.12122383824e-06,9.92281247415e-06,7.97371086974e-06,7.60088480909e-06,8.86176930618e-06,1.05626509613e-05,9.15604667964e-06,1.1251658389e-06,0,0,5.88529558897e-07,5.50942581736e-06,1.63568729454e-06,5.43584060349e-06,1.67131098276e-05,4.32280367273e-06,9.20618267142e-06,7.13819236669e-06,5.72933820578e-06
Syntrophotalea,3.64757429015e-07,6.10977680374e-07,0,0,5.68613609141e-07,0,9.56415660159e-07,1.16688451752e-06,4.95709878853e-07,0,1.32033137017e-06,0,0,0,0,0,0,0,0,4.82108937335e-07,3.75895971542e-06,6.69540557921e-07,4.55629300002e-07,0
Syntrophothermus,3.10043814662e-06,3.25854762866e-06,0,0,0,0,2.63014306544e-06,1.55584602336e-06,1.48712963656e-06,2.11911874713e-06,2.64066274033e-06,2.46508949067e-06,1.82839448821e-06,0,0,5.88529558897e-07,5.99555162478e-06,1.63568729454e-06,1.69870018859e-06,2.89265362401e-06,1.69153187194e-06,1.50646625532e-06,2.12627006667e-06,1.30956301846e-06
Syntrophus,3.28281686113e-06,8.14636907166e-07,7.46725468808e-07,9.9131754528e-07,1.13722721828e-06,4.80524502105e-07,1.55417544776e-06,9.72403764603e-07,2.47854939427e-06,7.7058863532e-07,1.48537279144e-06,1.05646692457e-06,1.40645729862e-06,0,0,7.35661948621e-07,0,0,2.54805028288e-06,2.7319506449e-06,1.87947985771e-06,1.17169597636e-06,1.51876433334e-06,2.94651679154e-06
Taibaiella,9.11893572536e-07,1.01829613396e-06,7.84061742249e-06,8.59141872576e-06,6.11259629827e-06,2.88314701263e-06,4.78207830079e-07,0,4.95709878853e-07,0,0,3.52155641525e-07,5.62582919448e-07,0,0,0,0,0,0,0,0,1.33908111584e-06,4.55629300002e-07,8.1847688654e-07
Taipeivirus,0,1.01829613396e-06,0,4.9565877264e-07,4.26460206856e-07,0,1.07596761768e-06,4.86201882301e-06,1.15665638399e-06,3.8529431766e-07,3.63091126796e-06,2.64116731143e-06,0,0,0,0,0,0,8.49350094295e-07,6.42811916447e-07,1.87947985771e-06,3.68247306857e-06,3.64503440001e-06,6.54781509232e-07
Takahashivirus,0,6.10977680374e-07,0,0,0,3.6840211828e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamlana,1.82378714507e-06,2.64756994829e-06,9.89411246171e-06,1.27219084978e-05,1.16565789874e-05,5.76629402525e-06,2.0921592566e-05,4.66753807009e-06,2.21417079221e-05,2.23470704243e-05,1.65041421271e-05,1.49666147648e-05,0,0,0,0,0,0,5.09610056577e-07,4.82108937335e-06,3.75895971542e-07,6.69540557921e-07,3.03752866668e-07,1.30956301846e-06
Tangfeifania,5.1066040062e-06,5.70245835016e-06,0,4.9565877264e-07,9.95073815997e-07,0,2.74969502296e-06,1.75032677629e-06,1.98283951541e-06,9.6323579415e-07,1.81545563398e-06,1.76077820762e-06,0,0,0,0,0,4.90706188361e-07,6.79480075436e-07,3.21405958224e-07,9.021503317e-06,0,0,4.91086131924e-07
Tanisvirus,0,0,1.49345093762e-06,6.6087836352e-07,0,9.29014037402e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tannerella,0.000778757110946,0.000722379277429,0.000813744079634,0.000985534859599,0.000898409502443,0.000226166865657,0.000899628480337,0.000904918943339,0.000932099808871,0.000943200489632,0.000929348243175,0.000951348465579,6.46970357365e-06,0,0,2.83965512168e-05,1.94450322966e-06,0.000187286195225,0.000307124994097,0.000551371921333,0.000417808372369,0.000226639478856,0.0001221086524,0.000336066609613
Taphrina,0,0,0,9.9131754528e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tardibacter,0,0,1.86681367202e-07,3.3043918176e-07,4.26460206856e-07,6.40699336139e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
