Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Candidatus_Cryosericota,1.27665100155e-06,2.03659226791e-06,8.02729878969e-06,6.93922281696e-06,7.24982351655e-06,0,3.34745481056e-06,2.91721129381e-06,2.1480761417e-06,1.9264715883e-07,1.81545563398e-06,3.52155641525e-07,1.1251658389e-05,1.08873927504e-05,1.12848951069e-05,1.22119883471e-05,5.02330000995e-06,4.74349315416e-06,3.7371404149e-06,6.42811916447e-06,4.69869964427e-06,7.53233127662e-06,6.22693376669e-06,8.67585499733e-06
Candidatus_Curtissbacteria,1.07603441559e-05,1.09975982467e-05,0,0,4.26460206856e-07,0,3.10835089552e-06,1.75032677629e-06,3.46996915197e-06,1.9264715883e-06,3.46586984668e-06,2.11293384915e-06,0,0,0,0,0,0,1.18909013201e-06,1.60702979112e-06,0,8.36925697402e-07,1.51876433334e-07,1.9643445277e-06
Candidatus_Dadabacteria,2.18854457409e-06,2.85122917508e-06,5.60044101606e-07,4.9565877264e-07,1.56368742514e-06,0,3.5865587256e-07,7.77923011682e-07,0,0,0,0,0,0,0,0,0,0,0,4.33898043602e-06,0,1.50646625532e-06,1.82251720001e-06,4.91086131924e-07
Candidatus_Daviesbacteria,5.1066040062e-06,6.31343603054e-06,3.17358324244e-06,1.98263509056e-06,1.70584082742e-06,0,5.97759787599e-06,6.6123455993e-06,4.46138890968e-06,5.7794147649e-06,6.7666982721e-06,5.45841244363e-06,0,7.0241243551e-07,3.04997165051e-07,5.88529558897e-07,9.72251614829e-07,0,5.09610056577e-07,9.32077278849e-06,5.07459561581e-06,4.18462848701e-06,1.51876433334e-06,2.61912603693e-06
Candidatus_Delongbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54274917815e-07,8.49350094295e-07,1.60702979112e-06,0,5.02155418441e-07,0,0
Candidatus_Desantisbacteria,3.64757429015e-07,4.07318453583e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41397169173e-07,0,0,0,0,0,8.36925697402e-07,1.51876433334e-06,0
Candidatus_Diapherotrites,0,0,0,0,0,0,4.78207830079e-07,0,6.60946505138e-07,7.7058863532e-07,3.30082842541e-07,5.28233462287e-07,0,0,0,0,0,0,0,9.64217874671e-07,0,0,0,0
Candidatus_Dormibacteraeota,0,6.10977680374e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39740037718e-07,0,5.63843957313e-07,1.17169597636e-06,4.55629300002e-07,8.1847688654e-07
Candidatus_Doudnabacteria,0,0,1.34410584385e-05,1.45393239974e-05,1.33624198148e-05,1.60174834035e-06,1.55417544776e-06,5.44546108178e-06,2.47854939427e-06,2.11911874713e-06,1.98049705525e-06,3.16940077372e-06,0,0,0,0,0,0,6.79480075436e-07,6.91022810181e-06,0,0,0,1.14586764116e-06
Candidatus_Edwardsbacteria,0,1.22195536075e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59382166669e-07,0
Candidatus_Eremiobacteraeota,0,0,7.46725468808e-07,1.15653713616e-06,9.95073815997e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Falkowbacteria,4.17647256222e-05,4.03245269047e-05,3.92030871124e-06,4.29570936288e-06,2.70091464342e-06,3.04332184666e-06,5.76240435246e-05,4.12299196192e-05,5.61804529367e-05,5.41338516312e-05,4.73668879047e-05,4.9653945455e-05,0,1.5804279799e-06,1.37248724273e-06,0,1.78246129385e-06,0,2.4121542678e-05,0.000126151838603,4.21003488127e-05,3.09662508039e-05,2.76415108668e-05,2.6027564992e-05
Candidatus_Fermentibacteria,7.29514858029e-07,0,1.12008820321e-06,0,9.95073815997e-07,0,1.1955195752e-06,0,8.26183131422e-07,7.7058863532e-07,4.95124263812e-07,7.04311283049e-07,3.23485178683e-06,7.90213989948e-06,7.62492912628e-07,5.88529558897e-07,3.56492258771e-06,6.54274917815e-06,5.09610056577e-07,9.64217874671e-07,0,3.34770278961e-07,0,8.1847688654e-07
Candidatus_Firestonebacteria,2.91805943212e-06,4.88782144299e-06,9.3340683601e-06,8.59141872576e-06,6.39690310284e-06,6.40699336139e-07,2.86924698048e-06,1.08909221636e-05,2.31331276798e-06,2.31176590596e-06,4.62115979558e-06,5.10625680211e-06,0,0,0,0,0,0,0,4.66038639424e-06,1.87947985771e-06,0,0,1.30956301846e-06
Candidatus_Fischerbacteria,1.27665100155e-06,1.22195536075e-06,0,0,4.26460206856e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69870018859e-06,3.21405958224e-07,0,1.6738513948e-06,9.11258600003e-07,2.61912603693e-06
Candidatus_Geothermarchaeota,0,0,0,0,2.84306804571e-07,4.80524502105e-07,5.97759787599e-07,7.77923011682e-07,3.30473252569e-07,0,0,7.04311283049e-07,0,0,0,0,0,0,0,0,7.51791943083e-07,0,0,0
Candidatus_Giovannonibacteria,0,6.10977680374e-07,0,0,0,0,5.97759787599e-07,1.65308639982e-05,0,7.7058863532e-07,5.28132548066e-06,6.86703500973e-06,0,3.51206217755e-07,1.02174050292e-05,7.35661948621e-07,1.4097648415e-05,4.41635569525e-06,1.18909013201e-06,2.41054468668e-06,9.77329526008e-06,4.01724334753e-06,3.18940510001e-06,1.63695377308e-06
