Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Gemmiger,0,0.000562851782363977,0.00167294019238812,0.00099502487562189,0.000854179377669311,0.000528262017960909,0,0,0,0,0,0,0.116827438370847,0.0663195395998904,0.0411568409343715,0.0248047772163528,0.052058921995313,0.106578115117015,0,0,0,0.000350959288722508,0.000242013552758955,0
Herbinix,0.0103170136934909,0.0133208255159475,0,0,0,0,0.0610932475884244,0.00070298769771529,0.0536185174333431,0.0660989456609894,0.0557648831951771,0.0642652476463365,0.00803858520900321,0,0,0.00160771704180064,0,0,0.00284646859989326,0.0307117659265408,0.00622083981337481,0.00865699578848854,0.00661503710874476,0.00289813070569483
Neglecta,0.00206340273869818,0.00168855534709193,0,0,0.00061012812690665,0,0,0,0.00146498681511866,0,0,0,0.00107181136120043,0.0378185804329953,0.0389321468298109,0.0144694533762058,0.0656176765985939,0.0692599620493359,0,0.000207511931936086,0.000777604976671851,0.00432849789424427,0.00282349144885447,0.000579626141138965
Hungatella,0.00356405927593322,0.00262664165103189,0.00836470096194061,0.00646766169154229,0.00671140939597315,0.00184891706286318,0.00717289141726441,0.00210896309314587,0.00498095517140346,0.00121654501216545,0.00339110776186888,0.00368399508800655,0.0192926045016077,0.00520690600164429,0.0164627363737486,0.0179145613229215,0.0107130900569133,0.00253004427577483,0.0188578544742928,0.00373521477484955,0.0138024883359253,0.00655124005615349,0.00717973539851565,0.0186929430517316
Prevotella,0.00675295441755768,0.00562851782363977,0.00501882057716437,0.0109452736318408,0.00756558877364247,0.000528262017960909,0.0227553796685629,0.0260105448154657,0.0263697626721359,0.0174371451743715,0.0218538055764883,0.0282439623413835,0,0,0,0,0,0,0,0.00186760738742478,0,0,0,0
Hydrogenoanaerobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.0348338692390139,0.0337078651685393,0.0233592880978865,0.0241157556270096,0.0194174757281553,0.0338393421884883,0,0,0,0,0,0
Ligilactobacillus,0.00037516413430876,0,0.00153352850968911,0.00033167495854063,0.00109823062843197,0,0.00643086816720257,0.0555360281195079,0.0102549077058306,0.0117599351175994,0.0173323285606631,0.0151453131395825,0,0,0,0,0,0,0.0225938445116527,0.00871550114131563,0.00136080870917574,0.00175479644361254,0.000806711842529848,0.0105781770757861
Enterocloster,0.00506471581316826,0.00825515947467167,0.00934058274083368,0.00713101160862355,0.00805369127516779,0.00132065504490227,0.00445213950037101,0.00140597539543058,0.00351596835628479,0.0032441200324412,0.000753579502637528,0.0024559967253377,0.00928903179707038,0.000822143052891203,0.0151279199110122,0.0041341295360588,0.0224305323066622,0.00743200506008855,0.0185020458993062,0.00269765511516912,0.00447122861586314,0.00584932147870847,0.00484027105517909,0.0149253731343284
Butyricicoccus,0.00150065653723504,0.00469043151969981,0.00864352432733863,0.00961857379767828,0.0100061012812691,0.000396196513470681,0.00371011625030918,0.00246045694200351,0.00673893934954585,0.0040551500405515,0.00113036925395629,0.0024559967253377,0.015719899964273,0.00548095368594135,0.00823136818687431,0.00183739090491502,0.0180783394710412,0.0143896268184693,0.00480341576231987,0.00498028636646607,0.00330482115085537,0.00467945718296678,0.00379154565989029,0.00565135487610491
Lachnotalea,0.00168823860438942,0.000562851782363977,0.00515823225986338,0.00464344941956882,0.00475899938987187,0.000264131008980454,0.00049468216670789,0,0.000878992089071198,0,0,0.000818665575112567,0.0280457306180779,0,0,0,0,0,0.00480341576231987,0.0014525835235526,0.0190513219284603,0.0286616752456715,0.037431429493385,0.0042022895232575
