"SampleID","Group","Batch","Cell_Type","Proportion"
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0113229698884955
"GSM983510","Bacterial_Pneumonia","GSE40012","NK cells resting",0.032403599128714
"GSM983510","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Monocytes",0.25560482002063
"GSM983510","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0408504917625286
"GSM983510","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00795154362587733
"GSM983510","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0181806372557865
"GSM983510","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983510","Bacterial_Pneumonia","GSE40012","Neutrophils",0.420975315100549
"GSM983514","Bacterial_Pneumonia","GSE40012","B cells naive",0.00666415914060264
"GSM983514","Bacterial_Pneumonia","GSE40012","B cells memory",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells CD8",0.00670230895886265
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0732450247227864
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.00574536558224267
"GSM983514","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0149328262467573
"GSM983514","Bacterial_Pneumonia","GSE40012","NK cells resting",0.00419006476367175
"GSM983514","Bacterial_Pneumonia","GSE40012","NK cells activated",0.00708507865998003
"GSM983514","Bacterial_Pneumonia","GSE40012","Monocytes",0.430126730297539
"GSM983514","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0607783590316918
"GSM983514","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00906362611504267
"GSM983514","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0385132300115233
"GSM983514","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983514","Bacterial_Pneumonia","GSE40012","Neutrophils",0.3429532264693
"GSM983515","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983515","Bacterial_Pneumonia","GSE40012","B cells memory",0.0789323992182037
"GSM983515","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0496797012305216
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0.0120833532057215
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.00329936286174391
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.00754282867817262
"GSM983515","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0260213618059485
"GSM983515","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0667316687748071
"GSM983515","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Monocytes",0.24321734146493
"GSM983515","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0216915234150897
"GSM983515","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00878520893908906
"GSM983515","Bacterial_Pneumonia","GSE40012","Mast cells resting",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983515","Bacterial_Pneumonia","GSE40012","Neutrophils",0.482015250405772
"GSM983539","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983539","Bacterial_Pneumonia","GSE40012","B cells memory",0.0759706485340323
"GSM983539","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells CD8",0.0433148228202269
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0805583695211989
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0.0590916887514581
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.0211843955825692
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0171369189534929
"GSM983539","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0
"GSM983539","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0748414898398271
"GSM983539","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Monocytes",0.317407388211866
"GSM983539","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0366873382986365
"GSM983539","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.010781131657812
"GSM983539","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0160387176536407
"GSM983539","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983539","Bacterial_Pneumonia","GSE40012","Neutrophils",0.246987090175239
"GSM983551","Bacterial_Pneumonia","GSE40012","B cells naive",0
