"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Sample","Group"
-0.184304141700389,-0.0821972445862187,-0.0265525503417134,0.0303718022001945,-0.000488293445509681,-0.00600796981606508,-0.00163503370816301,0.00797937271840282,-0.0119856506690303,-0.00382993066576634,0.00356803811058307,"M5","Model"
-0.184330322855095,-0.0832994760284087,-0.0273513458758678,0.0296537833478935,-0.00155755013352647,-0.00648580866071536,-0.00311207155167262,0.00459063758064787,-0.0126033916908134,-0.0014964833990031,-1.89171284232021e-05,"M6","Model"
0.374275580571419,0.0163088092931124,-0.0228554311880626,0.00949332910361261,-0.0116590959320976,-0.0160423738256012,0.0111450317744127,0.023653016853721,0.0098629038785085,-0.0115052216442047,0.000315458110212281,"Y1","LVX"
0.384205180188226,-0.0136551284384968,-0.0942326473501507,-0.0425906784203874,0.0111820372987324,-0.0284664074448402,-0.0110919279154985,-0.0203190492645576,0.0022609687975266,0.000940954176756841,-0.000156735254048459,"Y2","LVX"
0.382558491700354,-0.180100653208164,0.0653413967186398,0.0425694929720564,0.0455484658778859,-0.0163257716607583,-0.00920934554116348,-0.00714743767847406,0.0027725205806388,-0.000578170009370547,8.93202799134972e-05,"Y3","LVX"
0.358035344922467,-0.0398497357484753,0.06177674488044,-0.042747763182962,-0.0782004290491965,-0.00460956886285434,-0.0104322311454725,-0.00358443114089755,-0.00271905155368348,0.00329992673008151,-2.78667923708119e-05,"Y4","LVX"
0.376274222193568,0.0699189589892156,-0.0124652114638088,0.0601102636485027,-0.00687830860725841,0.0254873879353873,-0.0229986236979137,-0.000422841441307445,-0.00966414874817954,0.00527991442135009,-0.000249155064514468,"Y5","LVX"
0.349531102496163,-0.0997067006486028,-0.0310905282802022,-0.0333421145683995,0.0340408804939564,0.0427426600611433,0.0380812050192723,0.00977235392908693,-0.00629293673390326,0.00307939904858149,5.02465584860666e-06,"Y6","LVX"
-0.10562393792808,-0.00930918132062326,0.100604979373989,0.0279707695285959,-0.0229911988005035,0.0174680459839257,-0.0190096263476465,-0.0160684878750837,0.010199672194772,0.00521887134411683,0.00175641267948535,"Z1","HQQD"
-0.0511873080378339,0.101851179815271,-0.0484842414823533,0.0331446173272393,-0.0602223833452524,-0.0136193779038014,-0.00984680338660654,0.0255529700777483,0.0160656169293676,2.76802774221213e-05,-5.45432370474885e-06,"Z2","HQQD"
-0.102293908416029,0.0298314553638056,0.0475173694176192,-0.0273271431104902,-0.0207193779143721,0.00364144452075143,0.0500935364855387,0.00707137521202973,0.000533607657797088,-0.00392017467351882,0.000748823923593953,"Z3","HQQD"
0.0130369419235687,0.203140650937161,0.0459328186085689,0.0257324451068084,0.00361205848757439,-0.0300526960853257,0.0291227781882782,-0.0219833041933294,-0.00759071845996324,-0.000199554414102752,-5.00049204220533e-05,"Z4","HQQD"
0.0520359522324767,0.24929926678833,0.0526324428741353,-0.032285056102068,0.0718551958728664,-0.0162329709026611,-0.0079113213236839,0.0146561260605604,0.00253890811249101,0.00336250560597963,0.000373128454380069,"Z5","HQQD"
-0.0980638373108979,0.00645930362480125,0.0775109089113164,0.00692921849433777,-0.00794259476342357,0.0333337593020914,-0.0113898147869154,0.0144215401697057,-0.012602257660242,-0.00907179241490647,-0.00256203356331448,"Z6","HQQD"
